"st_dis_recip","first_name","last_name","party","grants","amount_awarded","total_outlays","not_disbursed"
"NC04","Valerie","Foushee","D",5,139103648,3044881.54,136058766.46
"AK00","Nicholas","Begich","R",11,132159907,270364.58,131889542.42
"DC00","Eleanor","Norton","D",9,76547934,284419.93,76263514.07
"MN05","Ilhan","Omar","D",5,78500000,4419296.44,74080703.56
"WA07","Pramila","Jayapal","D",4,72137855,1688878.7,70448976.3
"VT00","Becca","Balint","D",5,69876765,2385496.61,67491268.39
"MA08","Stephen","Lynch","D",5,6.5e+07,1630941.31,63369058.69
"TX18",,"Office of the 18th Congressional District of Texas",,4,63515485,459174.63,63056310.37
"CA26","Julia","Brownley","D",3,6.3e+07,1053379.72,61946620.28
"NY15","Ritchie","Torres","D",6,62197647,1045775.49,61151871.51
"MD07","Kweisi","Mfume","D",5,61524000,1237605.74,60286394.26
"MA07","Ayanna","Pressley","D",4,60650000,1367184.75,59282815.25
"LA02","Troy","Carter","D",9,54519450,4268332.48,50251117.52
"CA11","Nancy","Pelosi","D",7,45425535,323540.49,45101994.51
"PR00","Pablo","Hernández","D",6,42143098,86541.7,42056556.3
"VA05","John","McGuire","R",4,40497117,0,40497117
"NC06","Addison","McDowell","R",2,38490207,3957.75,38486249.25
"OR02","Cliff","Bentz","R",3,36682875,145850.52,36537024.48
"AZ07",,"Office of the 7th Congressional District of Arizona",,5,28946974,231219.86,28715754.14
"MT01","Ryan","Zinke","R",4,28904330,685150.3,28219179.7
"PA12","Summer","Lee","D",5,28844246,2254211,26590035
"NM03","Teresa","Leger Fernandez","D",6,25521423,113797.35,25407625.65
"CA12","Lateefah","Simon","D",5,25670868,466957.3,25203910.7
"WI02","Mark","Pocan","D",3,24518757,1210706.01,23308050.99
"MI01","Jack","Bergman","R",2,2.3e+07,2180,22997820
"WI04","Gwen","Moore","D",3,23151272,372908.57,22778363.43
"CO01","Diana","DeGette","D",5,22652601,28478,22624123
"CA21","Jim","Costa","D",4,24558750,2057605.1,22501144.9
"CA37","Sydney","Kamlager-Dove","D",3,21700000,113158.13,21586841.87
"CA28","Judy","Chu","D",3,21952614,477871.95,21474742.05
"CT03","Rosa","DeLauro","D",4,21574965,187114.61,21387850.39
"MN08","Pete","Stauber","R",3,21499268,119083.59,21380184.41
"WA05","Michael","Baumgartner","R",3,21270824,77818.68,21193005.32
"MI06","Debbie","Dingell","D",2,2.1e+07,0,2.1e+07
"TX09","Al","Green","D",2,20999958,15810.42,20984147.58
"CA07","Doris","Matsui","D",4,21541179,626911.4,20914267.6
"NY20","Paul","Tonko","D",2,2.1e+07,130687,20869313
"PA02","Brendan","Boyle","D",3,20697733,21840,20675893
"NJ08","Robert","Menendez","D",3,20646494,37224.36,20609269.64
