"primary_place_of_performance_state_name","grants","amount_awarded","total_outlays","not_disbursed"
"CALIFORNIA",47,304007232,5526414.23,298480817.77
"NORTH CAROLINA",9,179093855,3310216.81,175783638.19
"ALASKA",12,152159907,270364.58,151889542.42
"TEXAS",16,130127122,2253488.87,127873633.13
"WASHINGTON",16,112560354,883396.69,111676957.31
"MINNESOTA",11,102199268,4538380.03,97660887.97
"OREGON",12,96764311,2627914.34,94136396.66
"MASSACHUSETTS",12,87239241,1707353.29,85531887.71
"COLORADO",10,83802601,1680813.53,82121787.47
"MICHIGAN",10,85261526,4958617.76,80302908.24
"NEW JERSEY",9,79146494,61397.56,79085096.44
"NEW YORK",19,73456234,444112.15,73012121.85
"VERMONT",5,69876765,2385496.61,67491268.39
"PUERTO RICO",9,63240052,478436.99,62761615.01
"LOUISIANA",12,65669450,4437773.45,61231676.55
"DISTRICT OF COLUMBIA",6,55554032,147269.64,55406762.36
"MARYLAND",7,55392041,338149.53,55053891.47
"VIRGINIA",8,50183867,36602.71,50147264.29
"PENNSYLVANIA",13,53039090,2951670.45,50087419.55
"WISCONSIN",6,47670029,1583614.58,46086414.42
"TENNESSEE",6,43531973,135091.8,43396881.2
"GEORGIA",5,41459300,26181.27,41433118.73
"FLORIDA",7,38651788,104144.66,38547643.34
"NEW MEXICO",8,34021423,115758.1,33905664.9
"ARIZONA",9,31696974,743194.89,30953779.11
"CONNECTICUT",9,30824965,362875.74,30462089.26
"MONTANA",5,29904265,685150.3,29219114.7
"VIRGIN ISLANDS",3,28200000,839000.77,27360999.23
"OHIO",7,24307461,608740.44,23698720.56
"INDIANA",4,23661710,115154.66,23546555.34
"RHODE ISLAND",6,22155151,602157.63,21552993.37
"MISSISSIPPI",7,21139515,223867.88,20915647.12
"NEVADA",3,20829495,55701.19,20773793.81
"SOUTH DAKOTA",2,20449725,575516,19874209
"ALABAMA",7,18889898,114443.86,18775454.14
"HAWAII",5,19013652,287589.35,18726062.65
"IDAHO",2,16915618,97945.48,16817672.52
"SOUTH CAROLINA",4,12596020,145008.85,12451011.15
"ILLINOIS",7,10543048,188570.97,10354477.03
"KANSAS",2,9e+06,0,9e+06
"WEST VIRGINIA",3,9040000,1197871.19,7842128.81
"MAINE",7,3566014,545838.96,3020175.04
"GUAM",1,3e+06,0,3e+06
"MISSOURI",5,2699342,180462.63,2518879.37
"UTAH",2,2e+06,150330.2,1849669.8
"OKLAHOMA",2,1499363,0,1499363
"IOWA",2,1500000,66873.16,1433126.84
"KENTUCKY",2,1500000,191481.83,1308518.17
"NORTH DAKOTA",1,1e+06,8169,991831
"ARKANSAS",1,1e+06,19997,980003
"DELAWARE",1,490912,9623.5,481288.5
